PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40110655,Role of Assemblysomes in Cellular Stress Responses.,2025,,,N/A
40110648,"DB-1310, a HER3-targeting antibody-drug conjugate, has synergistic anti-tumor activity with trastuzumab in HER2- and HER3-expressing breast cancer.",2025,"Xi Li, Liwen Liang, Zhongyuan Zhu, Haiqing Hua, Yang Qiu","Department of Research and Development, Duality Biologics, Ltd., Shanghai 201204, China., Department of Research and Development, Duality Biologics, Ltd., Shanghai 201204, China., Department of Research and Development, Duality Biologics, Ltd., Shanghai 201204, China., Department of Research and Development, Duality Biologics, Ltd., Shanghai 201204, China., Department of Research and Development, Duality Biologics, Ltd., Shanghai 201204, China.",N/A
40110613,Low frequency of structured documentation for cancer genetic testing in a large electronic health record dataset: A brief report using All of Us Research data.,2025,,,N/A
40110606,Environmental health disparities in pediatric cancer: a report from the Fourth Symposium on Childhood Cancer Health Disparities.,2025,"Thanh T Hoang, Zdenko Herceg, Manish Arora, Leticia M Nogueira, Jeremy M Schraw, Michael E Scheurer, Philip J Lupo","Division of Hematology-Oncology, Department of Pediatrics, Baylor College of Medicine, Houston, Texas, USA., Epigenomics and Mechanisms Branch, International Agency for Research on Cancer, World Health Organization, Lyon Cedex 07, France., The Senator Frank R. Lautenberg Environmental Health Science Laboratory, Department of Environmental Medicine and Public Health, Icahn School of Medicine at Mount Sinai, New York, New York, USA., Surveillance & Health Equity Science, American Cancer Society, Kennesaw, Georgia, USA., Division of Hematology-Oncology, Department of Pediatrics, Baylor College of Medicine, Houston, Texas, USA., Division of Hematology-Oncology, Department of Pediatrics, Baylor College of Medicine, Houston, Texas, USA., Division of Hematology-Oncology, Department of Pediatrics, Baylor College of Medicine, Houston, Texas, USA.",N/A
40110599,Tumor suppressor genes in the tumor microenvironment.,2025,Bahareh Tabanifar,"Division of Cellular & Molecular Research, National Cancer Centre Singapore, Singapore 168583.",N/A
40110575,Adapting historical clinical genetic test records for anonymised data linkage: obstacles and opportunities.,2023,"Thomas Stoneman, Sarah Anderson","All-Wales Medical Genomics Service, Canolfan Iechyd Genomig Cymru / Wales Genomic Health Centre, Cardiff Edge Business Park, Longwood Drive, Whitchurch, Cardiff, CF14 7YU, UK., All-Wales Medical Genomics Service, Canolfan Iechyd Genomig Cymru / Wales Genomic Health Centre, Cardiff Edge Business Park, Longwood Drive, Whitchurch, Cardiff, CF14 7YU, UK.",N/A
40110574,Identification of Novel Gene Signature Predicting Lymph Node Metastasis in Papillary Thyroid Cancer via Bioinformatics Analysis and in vitro Validation.,2025,Kai Jin,"Department of Thyroid Neoplasms Surgery, Inner Mongolia Autonomous Region People's Hospital, Hohhot, Inner Mongolia Autonomous Region, People's Republic of China.",N/A
40110547,Aspartate beta-hydroxylase is a prognostic factor in gallbladder cancer with the function of promoting tumorigenesis and chemoresistance.,2025,,,N/A
40110524,Sequential metabolic probes illuminate nuclear DNA for discrimination of cancerous and normal cells.,2025,,,N/A
40110491,Landscape of chimeric RNAs in COVID-19 patient blood.,2025,Sandeep Singh,"Computational Toxicology Facility, CSIR-Indian Institute of Toxicology Research, Lucknow, Uttar Pradesh 226001, India.",N/A
